call_id,caller_person_id,caller_phone_id,caller_phone,receiver_person_id,receiver_phone_id,receiver_phone,call_datetime,duration_seconds,call_type,cell_tower_id,cell_tower_location_id,cell_tower_location,case_id
CAL-0000001,P-001839,PH-000645,+91-8360854566,P-000159,PH-000548,+91-8821423691,2026-01-16 21:37:47,470,OUTGOING,TWR-0328,L-000079,"Warehouse Zone, Salem",
CAL-0000002,P-000365,PH-000543,+91-6443098591,P-001629,PH-000194,+91-9180812135,2026-08-22 04:50:26,862,OUTGOING,TWR-0135,L-000198,"Port Area, Krishnagiri",
CAL-0000003,P-000425,PH-000213,+91-7702851961,P-001986,PH-000209,+91-5712661106,2026-06-05 20:31:27,611,INCOMING,TWR-0300,L-000059,"IT Park, Chennai",CR-2026-2017
CAL-0000004,P-001864,PH-000674,+91-2896599949,P-001888,PH-000006,+91-4440192927,2026-01-06 22:31:51,3325,OUTGOING,TWR-0361,L-000151,"Warehouse Zone, Salem",
CAL-0000005,P-000756,PH-000805,+91-0702608698,P-000911,PH-000285,+91-0755366684,2026-02-05 15:21:36,14,INCOMING,TWR-0226,L-000130,"Auto Nagar, Nagapattinam",
CAL-0000006,P-000582,PH-000069,+91-4523805525,P-001422,PH-000735,+91-0487368269,2026-08-04 09:12:39,2604,OUTGOING,TWR-0010,L-000165,"Ring Road, Krishnagiri",
CAL-0000007,P-001636,PH-000408,+91-5347491624,P-001820,PH-000806,+91-2210531611,2026-01-24 20:17:17,822,OUTGOING,TWR-0175,L-000020,"Residential Colony, Karur",
CAL-0000008,P-000035,PH-000634,+91-7827411767,P-001863,PH-000146,+91-0089317342,2026-04-19 17:21:44,2108,OUTGOING,TWR-0251,L-000125,"Textile Market, Hosur",CR-2026-2012
CAL-0000009,P-001251,PH-000173,+91-9081081866,P-000358,PH-000332,+91-8694611952,2026-02-14 22:59:01,779,OUTGOING,TWR-0070,L-000090,"Warehouse Zone, Salem",
CAL-0000010,P-000427,PH-000384,+91-7578446834,P-000773,PH-000995,+91-6121377306,2026-04-24 18:48:10,995,INCOMING,TWR-0303,L-000128,"Grain Market, Erode",
CAL-0000011,P-001459,PH-000865,+91-0908144152,P-001690,PH-000917,+91-4171581021,2026-03-23 14:46:33,2201,OUTGOING,TWR-0139,L-000082,"Highway Junction, Nagercoil",CR-2026-2013
