transaction_id,sender_person_id,sender_account_id,receiver_person_id,receiver_account_id,transaction_datetime,amount_inr,transaction_type,bank_id,branch_id,reference,location_id,case_id
TXN-0000001,P-001522,AC-001522,P-001848,AC-001848,2026-08-28 15:35:23,68768,TRANSFER,BOK-YES,BR-026,UTR-9908555144,,
TXN-0000002,P-000618,AC-000618,P-000574,AC-000574,2026-02-01 00:34:07,79521,TRANSFER,BOK-CAN,BR-141,UTR-2962046257,,
TXN-0000003,P-001851,AC-001851,P-001451,AC-001451,2026-03-29 23:55:29,66930,UPI,BOK-IDFC,BR-008,UTR-5202808111,,
TXN-0000004,P-000954,AC-000954,P-000860,AC-000860,2026-01-11 05:58:27,67450,UPI,BOK-SBI,BR-051,UTR-8890472910,L-000074,
TXN-0000005,P-001728,AC-001728,P-001273,AC-001273,2026-07-08 18:50:12,75108,TRANSFER,BOK-BOB,BR-017,UTR-7990849718,,
TXN-0000006,P-001165,AC-001165,P-001937,AC-001937,2026-07-20 04:20:02,41443,CASH,BOK-FED,BR-024,UTR-8394281230,,CR-2026-2012
TXN-0000007,P-001674,AC-001674,P-001536,AC-001536,2026-05-12 20:46:13,82821,RTGS,BOK-DBS,BR-102,UTR-5114519233,,
TXN-0000008,P-000773,AC-000773,P-000893,AC-000893,2026-01-14 06:31:15,44866,TRANSFER,BOK-BOB,BR-042,UTR-1924168891,,CR-2026-2017
TXN-0000009,P-000968,AC-000968,P-000107,AC-000107,2026-03-01 04:21:11,109298,CASH,BOK-IB,BR-209,UTR-2216332754,,
TXN-0000010,P-001219,AC-001219,P-000529,AC-000529,2026-01-13 06:19:15,74650,RTGS,BOK-AXIS,BR-132,UTR-5872127663,,
TXN-0000011,P-000795,AC-000795,P-000502,AC-000502,2026-04-11 11:01:01,65608,CASH,BOK-ICICI,BR-070,UTR-5688068437,,CR-2026-2004
TXN-0000012,P-000208,AC-000208,P-001644,AC-001644,2026-05-28 06:29:42,229773,NEFT,BOK-PNB,BR-102,UTR-9568669061,L-000070,
TXN-0000013,P-001380,AC-001380,P-001706,AC-001706,2026-01-29 14:33:20,65083,UPI,BOK-CBI,BR-159,UTR-7088245562,,CR-2026-2002
TXN-0000014,P-000502,AC-000502,P-001932,AC-001932,2026-03-07 01:34:11,58740,UPI,BOK-INDUS,BR-178,UTR-9322472030,,CR-2026-2005
TXN-0000015,P-001337,AC-001337,P-001249,AC-001249,2026-07-21 15:05:45,131072,TRANSFER,BOK-AXIS,BR-119,UTR-7455816588,,CR-2026-2020
TXN-0000016,P-000871,AC-000871,P-000454,AC-000454,2026-05-19 23:17:57,144364,RTGS,BOK-CAN,BR-025,UTR-5928011148,L-000038,CR-2026-2007
TXN-0000017,P-001475,AC-001475,P-001714,AC-001714,2026-07-21 19:55:26,195494,TRANSFER,BOK-CAN,BR-058,UTR-6597703508,,CR-2026-2016
TXN-0000018,P-000621,AC-000621,P-001902,AC-001902,2026-07-27 19:18:12,1778,UPI,BOK-ICICI,BR-003,UTR-9070071886,,
TXN-0000019,P-001280,AC-001280,P-001413,AC-001413,2026-08-12 16:06:23,228782,UPI,BOK-BOB,BR-052,UTR-9907057445,,CR-2026-2008
TXN-0000020,P-001260,AC-001260,P-001113,AC-001113,2026-04-26 08:48:00,181602,CASH,BOK-BOB,BR-123,UTR-2228061432,,CR-2026-2013
TXN-0000021,P-001348,AC-001348,P-000056,AC-000056,2026-04-07 03:59:44,206799,TRANSFER,BOK-DBS,BR-200,UTR-6736602787,,
TXN-0000022,P-000767,AC-000767,P-001256,AC-001256,2026-01-12 05:10:35,61323,UPI,BOK-DBS,BR-076,UTR-8597627695,,
TXN-0000023,P-001979,AC-001979,P-001584,AC-001584,2026-05-04 08:04:42,79178,UPI,BOK-PNB,BR-114,UTR-2963038125,,
TXN-0000024,P-000619,AC-000619,P-000320,AC-000320,2026-04-03 02:14:40,126796,TRANSFER,BOK-SBI,BR-011,UTR-5854857700,L-000137,
TXN-0000025,P-000046,AC-000046,P-000891,AC-000891,2026-02-16 02:37:33,156186,UPI,BOK-IDFC,BR-015,UTR-3669962091,,
TXN-0000026,P-000456,AC-000456,P-000760,AC-000760,2026-07-10 21:36:15,70656,CASH,BOK-SBI,BR-208,UTR-8783553252,,CR-2026-2002
TXN-0000027,P-001171,AC-001171,P-000021,AC-000021,2026-06-02 08:43:29,48697,UPI,BOK-HDFC,BR-045,UTR-2192282441,,
TXN-0000028,P-001141,AC-001141,P-001997,AC-001997,2026-02-20 03:43:19,52038,CASH,BOK-FED,BR-201,UTR-7247482132,,CR-2026-2013
TXN-0000029,P-000123,AC-000123,P-001833,AC-001833,2026-04-01 12:32:16,142881,TRANSFER,BOK-BOB,BR-145,UTR-7036104393,L-000158,
TXN-0000030,P-000502,AC-000502,P-001932,AC-001932,2026-05-05 02:44:46,59613,TRANSFER,BOK-INDUS,BR-178,UTR-4160256391,,CR-2026-2016
TXN-0000031,P-000610,AC-000610,P-000179,AC-000179,2026-08-11 04:50:05,72102,NEFT,BOK-ESAF,BR-070,UTR-2384877284,,
TXN-0000032,P-001258,AC-001258,P-001847,AC-001847,2026-07-21 06:59:21,63483,TRANSFER,BOK-IB,BR-059,UTR-9720006092,,
TXN-0000033,P-001817,AC-001817,P-000895,AC-000895,2026-02-13 00:21:14,240300,TRANSFER,BOK-UCO,BR-179,UTR-4228495994,,
TXN-0000034,P-000585,AC-000585,P-001719,AC-001719,2026-03-11 00:46:26,71985,TRANSFER,BOK-ESAF,BR-064,UTR-9330849752,,CR-2026-2011
TXN-0000035,P-001536,AC-001536,P-000942,AC-000942,2026-01-15 23:30:27,52065,UPI,BOK-ICICI,BR-184,UTR-4401459664,,
TXN-0000036,P-001849,AC-001849,P-000023,AC-000023,2026-03-29 07:52:47,224224,UPI,BOK-BOA,BR-026,UTR-7521481666,,CR-2026-2013
TXN-0000037,P-000172,AC-000172,P-000469,AC-000469,2026-08-07 01:34:51,171746,NEFT,BOK-AXIS,BR-195,UTR-7792837850,,
TXN-0000038,P-001366,AC-001366,P-001889,AC-001889,2026-08-13 09:04:52,52484,TRANSFER,BOK-AXIS,BR-036,UTR-5085959487,,
TXN-0000039,P-000153,AC-000153,P-001448,AC-001448,2026-06-15 23:18:33,175662,UPI,BOK-YES,BR-020,UTR-8570419520,,
TXN-0000040,P-001401,AC-001401,P-001314,AC-001314,2026-04-04 17:00:45,248996,TRANSFER,BOK-CAN,BR-078,UTR-5507624562,,
