record_id,person_id,person_name,aliases,phone_id,phone_number,vehicle_id,vehicle_plate,location_id,location,organization_id,organization,target_person_id,target_person,event_type,event_date,amount_inr,notes,risk_score,case_id
REC-MA-0000001,P-001035,Karan Gupta,,,,,,L-000021,"Old Town, Coimbatore",,,,,LOCATION_PING,2026-07-28 09:37:48,,Co-location with case-linked individual,45,CR-2026-2020
REC-MA-0000002,P-000034,Shalini Kamble,,,,V-000634,TN-44-FY-7538,L-000021,"Old Town, Coimbatore",,,P-000209,Sandeep Pradhan,VEHICLE_MOVEMENT,2026-07-11 14:50:59,,,56,
REC-MA-0000003,P-001863,Manoj Pillai,,PH-000146,+91-0089317342,,,,,O-000121,Prime Retail Group,,,FINANCIAL_TXN,2026-05-11 15:42:00,242541,Documentation mismatch flagged,99,
REC-MA-0000004,P-001535,Jatin Subramanian,,,,,,L-000012,"Bus Stand, Madurai",,,,,SIGHTING_REPORT,2026-02-07 22:39:01,,,69,
REC-MA-0000005,P-001459,Punit Pradhan,,PH-000865,+91-0908144152,,,,,O-000139,Union Digital Udyog,,,FINANCIAL_TXN,2026-01-18 08:45:10,154160,,33,
REC-MA-0000006,P-001417,Siddharth Chakraborty,,PH-000955,+91-7214330800,,,,,,,,,CALL_LOG,2026-08-21 09:54:01,,,41,
REC-MA-0000007,P-001752,Riya Chettiar,,,,V-000281,AP-27-FV-2665,L-000114,"Ring Road, Thanjavur",,,P-000113,Mohan Desai,VEHICLE_MOVEMENT,2026-05-17 12:24:02,,,68,
REC-MA-0000008,P-001788,Poonam Ganesan,,,,V-000162,AP-31-UP-7300,L-000072,"Warehouse Zone, Erode",,,,,VEHICLE_MOVEMENT,2026-08-10 09:52:08,,,14,
REC-MA-0000009,P-001714,Shalini Ghosh,,,,,,L-000091,"Industrial Estate, Nagapattinam",,,,,LOCATION_PING,2026-05-04 20:14:53,,,78,CR-2026-2017
REC-MA-0000010,P-001730,Anjali Subramanian,,,,V-000699,WB-45-JN-8120,L-000105,"Bypass, Tirunelveli",,,,,VEHICLE_MOVEMENT,2026-03-19 03:13:05,,,95,
REC-MA-0000011,P-001882,Lakshmi Joshi,,PH-000680,+91-5205756398,,,,,,,,,CALL_LOG,2026-02-20 08:57:26,,No prior record - routine entry,17,
REC-MA-0000012,P-001095,Nikhil Pandey,,,,,,L-000009,"Highway Junction, Krishnagiri",,,,,SIGHTING_REPORT,2026-06-27 03:31:35,,,42,
REC-MA-0000013,P-000843,Sourav Kamble,"S. Kamble,Sourav K.,S K",,,V-000635,WB-51-JO-3977,L-000015,"SIPCOT, Kanniyakumari",O-000134,Bluebird Distributors Movers,,,REGISTRATION_RECORD,2026-08-23 05:35:24,,,75,
REC-MA-0000014,P-001058,Ananya Menon,,,,V-000114,KA-29-OH-7504,L-000121,"Residential Colony, Nagercoil",,,,,VEHICLE_MOVEMENT,2026-01-25 18:14:19,,Funds routed through multiple accounts,21,
REC-MA-0000015,P-001526,Zoya Karthikeyan,"Z. Karthikeyan,Zoya K.,Z K",PH-000088,+91-5445189520,,,,,O-000196,National Trading Udyog,P-000114,Pooja Swain,FINANCIAL_TXN,2026-08-10 12:12:16,51900,,3,
REC-MA-0000016,P-000781,Gaurav Patel,,,,V-000178,GJ-01-NW-6717,L-000090,"Warehouse Zone, Salem",O-000033,Nexus Digital Traders,,,REGISTRATION_RECORD,2026-03-03 01:53:37,,,63,
REC-MA-0000017,P-000209,Sandeep Pradhan,,PH-000800,+91-6431670450,,,,,O-000132,Summit Shipping & Co,,,FINANCIAL_TXN,2026-01-23 06:15:05,124279,,59,CR-2026-2013
REC-MA-0000018,P-001152,Neha Mahapatra,,PH-000140,+91-2756041776,,,,,,,,,CALL_LOG,2026-03-17 00:28:28,,Frequent contact with flagged number,32,CR-2026-2013
REC-MA-0000019,P-000045,Kartik Shetty,,,,,,L-000158,"Railway Station, Krishnagiri",,,,,LOCATION_PING,2026-03-19 21:49:20,,,51,
REC-MA-0000020,P-001702,Anjali Nair,,,,,,L-000061,"Old Town, Tiruchirappalli",,,,,SIGHTING_REPORT,2026-06-02 18:06:09,,,19,CR-2026-2006
REC-MA-0000021,P-000522,Tanvi Chavan,,,,,,L-000082,"Highway Junction, Nagercoil",,,,,SIGHTING_REPORT,2026-01-06 13:06:58,,,68,CR-2026-2004
REC-MA-0000022,P-000633,Bharat Sundaram,,,,V-000018,UP-45-JG-6488,L-000092,"Old Town, Cuddalore",O-000193,Orbit Distributors Ltd,,,REGISTRATION_RECORD,2026-02-03 05:42:16,,,74,
REC-MA-0000023,P-000197,Saurabh Kamble,,PH-000729,+91-5133053194,,,,,O-000138,Bluebird Exports Movers,,,FINANCIAL_TXN,2026-04-02 20:25:10,216566,,7,CR-2026-2020
REC-MA-0000024,P-000633,Bharat Sundaram,,,,,,L-000054,"Warehouse Zone, Cuddalore",,,,,SIGHTING_REPORT,2026-07-10 00:00:22,,Cash pickup observed near market road,68,CR-2026-2006
REC-MA-0000025,P-001449,Dinesh Kulkarni,,,,,,L-000163,"SIPCOT, Hosur",,,,,LOCATION_PING,2026-01-13 22:12:10,,No prior record - routine entry,38,
REC-MA-0000026,P-000754,Neha Rajan,,,,V-000677,WB-76-GS-6259,L-000102,"Industrial Estate, Hosur",O-000021,Pinnacle Steel Udyog,,,REGISTRATION_RECORD,2026-08-29 03:09:39,,,59,CR-2026-2005
REC-MA-0000027,P-000635,Suresh Kulkarni,,PH-000075,+91-8718637599,,,,,,,,,CALL_LOG,2026-05-12 20:01:45,,,61,
REC-MA-0000028,P-001871,Manoj Bhat,,,,,,L-000091,"Industrial Estate, Nagapattinam",,,,,LOCATION_PING,2026-03-09 00:26:50,,Funds routed through multiple accounts,7,CR-2026-2006
REC-MA-0000029,P-000608,Nisha Bose,,,,V-000270,UP-79-KA-1785,L-000105,"Bypass, Tirunelveli",O-000229,Prime Trading Enterprises,,,REGISTRATION_RECORD,2026-01-06 08:55:05,,,17,
REC-MA-0000030,P-001967,Varun Reddy,,,,,,L-000054,"Warehouse Zone, Cuddalore",,,,,LOCATION_PING,2026-04-21 04:14:32,,,33,CR-2026-2015
REC-MA-0000031,P-000393,Karan Dutta,,,,V-000458,KL-16-TE-3958,L-000147,"Port Area, Tiruchirappalli",,,,,VEHICLE_MOVEMENT,2026-01-19 06:24:42,,,39,
REC-MA-0000032,P-000854,Poonam Gaikwad,,,,,,L-000036,"Port Area, Dindigul",,,,,LOCATION_PING,2026-08-11 06:35:24,,Frequent contact with flagged number,2,
REC-MA-0000033,P-000889,Santosh Shinde,,,,V-000604,MH-05-UG-1830,L-000181,"Highway Junction, Chennai",,,,,VEHICLE_MOVEMENT,2026-01-04 06:32:01,,,60,
REC-MA-0000034,P-001323,Varun Das,,,,,,L-000134,"Technology Park, Salem",,,,,SIGHTING_REPORT,2026-05-24 05:45:36,,,23,
REC-MA-0000035,P-001535,Jatin Subramanian,,,,,,L-000067,"Market Road, Nagercoil",,,,,LOCATION_PING,2026-03-01 09:28:08,,,48,
REC-MA-0000036,P-001239,Shashank Chavan,,PH-000327,+91-4916016923,,,,,,,P-001507,Varun Kapoor,CALL_LOG,2026-07-29 18:21:46,,,13,
REC-MA-0000037,P-000043,Rohit Ghosh,,,,,,L-000105,"Bypass, Tirunelveli",,,,,SIGHTING_REPORT,2026-07-28 20:33:47,,,93,
REC-MA-0000038,P-001710,Anjali Joshi,,,,,,L-000012,"Bus Stand, Madurai",,,,,SIGHTING_REPORT,2026-08-29 21:34:42,,,47,
REC-MA-0000039,P-001910,Vandana Dubey,,PH-000675,+91-7320331922,,,,,O-000232,Global Agro & Co,,,FINANCIAL_TXN,2026-05-15 06:09:15,141145,,90,
REC-MA-0000040,P-000679,Dinesh Sen,,,,V-000049,TS-12-TB-3882,L-000072,"Warehouse Zone, Erode",,,,,VEHICLE_MOVEMENT,2026-04-15 20:31:32,,,37,
REC-MA-0000041,P-000958,Sunita Chopra,,PH-000549,+91-4307536661,,,,,,,,,CALL_LOG,2026-03-27 04:05:14,,Matches known alias spelling,48,CR-2026-2006
REC-MA-0000042,P-001032,Swati Joshi,,PH-000381,+91-1025625889,,,,,O-000123,Silver Agro Ltd,,,FINANCIAL_TXN,2026-06-29 19:31:17,90838,,100,CR-2026-2017
REC-MA-0000043,P-000548,Jaya Mishra,,,,V-000024,GJ-16-MR-7440,L-000075,"Residential Colony, Salem",O-000249,Prime Automotive Ltd,,,REGISTRATION_RECORD,2026-03-24 03:53:47,,,40,
REC-MA-0000044,P-000563,Sanjay Saha,,,,,,L-000023,"Bus Stand, Kanniyakumari",,,,,LOCATION_PING,2026-07-19 20:27:19,,,50,CR-2026-2017
REC-MA-0000045,P-001253,Ramesh Pradhan,,,,V-000543,MP-88-AA-8927,L-000077,"Textile Market, Coimbatore",,,,,VEHICLE_MOVEMENT,2026-03-31 23:32:52,,Repeated presence near restricted zone,33,
REC-MA-0000046,P-001435,Gaurav Kulkarni,,PH-000312,+91-6252571509,,,,,O-000201,Crystal Pharma Udyog,,,FINANCIAL_TXN,2026-06-16 20:09:11,10366,Contact cluster under observation,24,
REC-MA-0000047,P-000297,Sanjay Karthikeyan,,PH-000664,+91-1620281237,,,,,O-000072,Trustline Trading Movers,,,FINANCIAL_TXN,2026-06-03 05:30:24,208086,,73,
REC-MA-0000048,P-000837,Ishaan Chopra,,,,,,L-000023,"Bus Stand, Kanniyakumari",,,,,LOCATION_PING,2026-08-12 16:02:17,,,59,
REC-MA-0000049,P-000756,Anjali Pillai,,PH-000805,+91-0702608698,,,,,O-000077,National Financial Ltd,,,FINANCIAL_TXN,2026-04-23 23:15:23,19371,,91,
REC-MA-0000050,P-001080,Aarti Eswaran,,,,V-000498,MP-31-UT-3020,L-000121,"Residential Colony, Nagercoil",,,,,VEHICLE_MOVEMENT,2026-01-11 19:56:27,,,40,CR-2026-2013
REC-MA-0000051,P-000844,Pooja Nair,,,,V-000413,CG-86-OD-5133,L-000036,"Port Area, Dindigul",O-000014,Highland Infrastructure Pvt Ltd,P-000682,Megha Murugan,REGISTRATION_RECORD,2026-08-07 09:39:36,,,39,
